category,city,fax,phonenumber_three,province,description,url,phonenumber_four,website,subcategory_two,subcategory_three,subcategory_one,address_two,lead_source,phonenumber_five,phonenumber_two,company_name,address,keywords,email_address,phonenumber_one
Market Research,,,,,"Ipsos is an innovative, entrepreneurial, client-focused organisation, providing research services to clients on a global basis. We set ourselves high standards and aim to work collaboratively in partnership with our teams in order to service our clients most effectively.  Ipsos is proud to be the only global market research company that is still controlled and operated by market researchers. We aim to remain the natural home for intellectually curious and passionate researchers.  Our goal is simple: to be our clients' preferred research partners in our areas of specialisation, based on BQC (Better, Quicker, Cheaper) methodologies and processes. We want our clients to be proud and pleased to work with us - and we want each one of us to be proud and pleased to offer our clients high quality standards, efficiency and intelligence.  On 12th October 2011, Ipsos acquired Synovate, creating the third largest market research organisation globally. With this combination, aside from increasing our coverage globally, we have expanded and enhanced our range of services and products and acquired more expertise and experience in a wide range of specialist areas.  Ipsos Philippines is committed to providing the best research services and local insights to our clients. Aiming to transcend the usual client-agency interaction, our goal is to establish an actual partnership with our clients and not just stop at providing market data but proceed to actionable insights and recommendations that clients can integrate into their decision-making process. Our team is composed of specialists and experts in research practices, consumer segments and different market sectors.  We have specialists in the field of advertising, media, market understanding and measurement, product innovations, development and forecasting, and customer and employee research.  We also have experts in automotive, healthcare, technology and telecom, real estate, corporate reputation, international development, utilities and B2B sectors. In further support of our capability are resources in terms of regional/global industry experts; facilities in our office such as 2 FGD rooms complete with audio and video recording, one-way mirror, and simultaneous translator room; CATI facilities; online research; and IVR data capture. With presence and experience in the market since 1997, our existing long-term partnership with clients in different industries bespeaks of our commitment to uphold the Ipsos values and client charter to â€œbe our clientsâ€™ preferred research partner in our chosen areas of specialization. To achieve this, we will do our utmost to provide [them] with the right people, in the right place, at the right timeâ€¦.â€  Furthermore, we are focused on quality, strictly adhering to ESOMAR/ MORES (Marketing and Opinion Research Society of the Philippines) Code of Conduct and ISO 20252 ISO 20252 - Market, Opinion and Social Research Standards.  In the Philippines: ï‚§	3 Offices: -	Head Office â€“ Manila -	Field Offices in Cebu and Davao ï‚§	Managing Director, Philippines: Marie Lee  Infrastructure ï‚§	Full-service office established in 1997 ï‚§	100+ Full-time employees ï‚§	50+ Research Professionals  with dedicated Specialists per area of expertise  Quantitative & Qualitative Capabilities ï‚§	24 CATI stations ï‚§	300+ Field researchers/Executive interviewers ï‚§	In-house data processing  support ï‚§	Central Location / Street Intercepts ï‚§	Digital/Online/Social Media/Mobile survey capability ï‚§	ViewsCast (interactive voice response technology) capability ï‚§	Two fully-equipped focus group facilities with viewing rooms and audio and video recording equipment What we do: We explore market potential and market trends. We test products and advertising. We help our clients build long term relationships with customers. We study audiences and their perceptions of various media. We measure public opinion trends around the globe.  Our specialisations are served by six global brands recognized in all major markets:  Ipsos Connect - The Brand Communication, Advertising and Media Research Specialists Ipsos Marketing - The Innovation and Brand Research Specialists -	Market Understanding and Measurement (Ipsos MarketQuest) -	Innovation and Forecasting (Ipsos InnoQuest) -	Healthcare (Ethical) Reseach (Ipsos Healthcare) -	Qualitative (Ipsos UU) Ipsos Public Affairs - The Social Research and Corporate Reputation Specialists Ipsos Loyalty - The Customer and Employee Research Specialists Ipsos Observer - The Survey Management, Data Collection and Delivery Specialists     Why we can help you: â€¢	Our industry-specific expertise:  -	Advertising agencies -	Automotive -	Agricultural -	Call center/BPOs -	General consumer products -	Government and education -	Healthcare and pharmaceuticals -	Hotels and travel -	Industrial -	Information technology -	Luxury products -	Media -	Retail -	Real Estate -	Telecommunications -	Banking and finance -	Beers, wines and spirits -	Business-to-business -	Clothing and footwear -	Food and soft drinks -	Oil/Petroleum  Get insights daily - follow Ipsos Philippines! Facebook: https://www.facebook.com/ipsosphilippines LinkedIn: https://www.linkedin.com/company/ipsos-philippines Twitter: https://twitter.com/IpsosPhilippine  ",,,,,,,,,,,Ipsos Philippines,Unit 1401-B One Corporate Center Julia Vargas Ave. cor Meralco Ave. San AntonioCITY OF PASIG NCR,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=HpAeOF-hWDySL2a5x6_sMX0cJPsznQwnxSIbYLabLCQ=,+63 2 633 3997
,,,,,,,,,,,,,,,,,,,,
Digital Marketing Agency,,,,,"Propelrr is a full digital agency with the capability to integrate brandâ€™s offline and online market- ing efforts.The team is highly focused on conceptualization, execution, and iteration of digital strategies that bring revenue growth and profitability. ",,,www.propelrr.com,,,,,,,,Propelrr,"3F DMCI Homes Corporate Center, 1321 Apolinario Street BangkalCITY OF MAKATI NCR",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=Ji8q2BQhId0sA8oCywYGsrobSn17jpIlyN1Towzdl3g= http://www.propelrr.com,(02) 696 - 9145
Information and Communications Technology,,,,,"Strategy setting, project planning management, conference & event mgmt., media mgmt., crisis mgmt., Marketing & Research    ",,,,,,,,,,,EON – THE CORPORATE COMMUNICATIONS NETWORK,"5th Floor Valderama Building, 107 Esteban St., Legaspi Village, Makati CityMakati Metro Manila",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=EdX7KFPSSx8vK9XzGCtZA-_pS2JWkGl3DyMzs2r5oEY=,(632) 893-5690: 893-5642: 892-6799: 892-6899
Schools,,,,,"Malolos Marine Fishery School is a Schools business in Malolos,Bulacan ",,,,,,,,,,,Malolos Marine Fishery School,National Rd  Malolos Bulacan,,,(044) 662-7400
,,,,,"Founded on June 16, 2003, DRAGON V STEEL BARS TRADING (DV), OSHIMA TECH ENTERPRISE the first and leading metal trading and Roll Up doors services provider in Guiguinto Bulacan.  Sole Manufacturer, Supplier and Installation Services in Guiguinto Bulacan  ",,,www.oshimatech.com,,,,,,,,OSHIMA TECH,621 Ilang-IlangGuiguinto BULACAN,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=N7CxSaKelkClxufVXRTEvuCm9sHDUSTTtvacl0aoTFw= http://www.oshimatech.com,0447944156
Health,,,,,"G2 MEDICAL DENTAL AND PHARMACEUTICAL SUPPLIES    G2 Medical is a single proprietorship with more than10 years experience in the distribution and marketing of medicines and medical supplies with main activity being conducted in Region III. G2 medical had been doing business with both government and private hospitals. It carries imported and locally manufactured medical products.  It also has a significant market share in distribution of branded medical supplies particularly in the IV products both drugs and lines, catheters life support accessories segments and the generics market. It has its main office and store in Guiguinto, Bulacan and three pharmaceutical outlet adjacent three government hospitals in different municipality in Bulacan. Basic Information Company Name:	G2 Medical, Dental and Pharmaceutical Supplies Business Type:	Drugs and Medical Supplies Distributor  Product/Service:	Hospital and Medical Equipment Company Address:	Ilang ilang, Guiguinto, Bulacan No. of Total Employees:	11 Ownership & Capital Year Established:	2002 Legal Representative/Business Owner:	Eugenia Dv. Figueroa – Proprietor Trade & Market Main Markets:	Hospitals, Medical Laboratories and Clinics, Dialysis Center and Community Pharmacy Total Annual Sales Volume:	Below Php 5 Million    Looking forward, G2 Medical dreams to more opportunities of fulfilling business relationship with the public, by renewing its collective commitment of serving its customers whose trust and patronage has allowed G2 Medical to continue its existence.  ",,,,,,,,,,,G2 medical and dental supplies,Mcarthur Hiway Ilang-IlangGuiguinto BULACAN,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=mVvxpSDYEsPVPa0LpC3_DBUPgsyj3UHVOZmY7E_X8jk=,0448160193
Educational Institutions,,,,,Department of Education Accredited Private School ,,,,,,,,,,,"St. Martin de Porres Catholic School, Guiguinto","PoblacionSt. Martin De Porres Catholic School, Guiguinto Bulacan",,,(044) 794 00 50
Educational Institutions,,,,,Department of Education Accredited Private School ,,,,,,,,,,,San Ildefonso Learning Center,# 2 PoblacionSan Ildefonso Learning Center Bulacan,,,(044) 916 03 87
Public Elementary School,,,,,"Guiguinto Central School is a DepED Managed urban public Elementary school located in Guiguinto, Bulacan. ",,,,,,,,,,,Guiguinto Central School,Mc Arthur HighwayGuiguinto Bulacan,,,794-6061
Cooperatives,,,,,"Caniogan Credit & Dev Corp. is a Cooperatives business in Guiguinto,Bulacan ",,,,,,,,,,,Caniogan Credit & Dev Corp.,McArthur Highway  Guiguinto Bulacan,,,(044) 690-1286
,,,,,,,,,,,,,,,,,,,,
flour manufacturer,,,,,"Great Earth Food Industrial Inc was established on January 14,2010, backed by a core group of people with excellent background in manufacturing, the company made strides in this highly competitive industry through experience, knowledge and good management.  Our company is dedicated to provide exceptional products that will meet or exceed client expectations.   ",,,,,,,,,,,Great Earth Food Industrial inc.,Bldg 8 Yasmin Industrial Comp. 268 Mercado St.  PoblacionGUIGUINTO BULACAN,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=pO-1RMlhujg5YcrqYSG27JHh3tXLDB7wNhjWL_8b1bU=,044 794 5319
Public High School,,,,,"Guiguinto Nat'l Voc'l. High School is a DepED Managed urban Secondary Public School located in Guiguinto, Bulacan. ",,,,,,,,,,,Guiguinto Nat'l Voc'l. High School,PoblacionGuiguinto Bulacan,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=XXLp37BuLga7Aj3xSKFeo-kX1ZT9V_b348O-bxEA1oo=,794-2725
Retailer - Motor Vehicle Spare Parts,,,,,"Y.C.L. MOTORCYCLE PARTS AND GEN. MERCHANDIZE is a Retailer - Motor Vehicle Spare Parts business in Dasmarinas,Cavite ",,,,,,,,,,,Y.C.L. MOTORCYCLE PARTS AND GEN. MERCHANDIZE,52 SALAWAGDasmarinas Cavite,,,(046) 5179975
Retailer - Poultry feeds and other animal feeds,,,,,"MELCHOR'S POULTRY SUPPLY AND GENERAL MERCHANDISE - BRANCH is a Retailer - Poultry feeds and other animal feeds business in Dasmarinas,Cavite ",,,,,,,,,,,MELCHOR'S POULTRY SUPPLY AND GENERAL MERCHANDISE - BRANCH,UNIT B # 36 SALAWAGDasmarinas Cavite,,,0921-8293695
Lessor - Others,,,,,"LIGAYA T. BASILA COMMERCIAL SPACE RENTAL is a Lessor - Others business in Dasmarinas,Cavite ",,,,,,,,,,,LIGAYA T. BASILA COMMERCIAL SPACE RENTAL,36 SALAWAGDasmarinas Cavite,,,046-4846213
Retailer - Construction Supply,,,,,"HARRYSTAR TRADING is a Retailer - Construction Supply business in Dasmarinas,Cavite ",,,,,,,,,,,HARRYSTAR TRADING,# 13 SALAWAGDasmarinas Cavite,,,0909-5666896
Retailer - Non Essential Commodities,,,,,"HARRELLINS TRADING is a Retailer - Non Essential Commodities business in Dasmarinas,Cavite ",,,,,,,,,,,HARRELLINS TRADING,#42 SALAWAGDasmarinas Cavite,,,(046) 4821574
Contractor - Private Detective or watchman agencies,,,,,"FSR SECURITY  SERVICES, INC. is a Contractor - Private Detective or watchman agencies business in Dasmarinas,Cavite ",,,,,,,,,,,"FSR SECURITY  SERVICES, INC.",42 SalawagDasmarinas Cavite,,,(046) 5401611
Contractors & Builders,,,,,"Arcenal Systems Engineering is a Contractors & Builders business in Dasmarinas ,Cavite. They operate in 3 Branches covering the entire Philippines - Luzon, Visayas and Mindanao. Luzon branch is located in DasmariÃ±as, Cavite, Iloilo Branch in Lopez Jaena Street and Davao in Mindanao. They specialize in both structural and designs as they have their own team of veterans in both architecture and engineering. Arcenal Systems Engineering is a business by three engineers, the Arcenal brothers - one a civil engineer, another a mechanical engineer and then an electrical engineer. They have put up most Bingo Bonanza's in the Philippines, as well as SM Mall affiliates all over the country. Another huge client was just added on their list, which is Shopwise and Robinson Malls. ",,,,,,,,,,,Arcenal Systems Engineering,"#42 Molino Road cor. Salitran (Jose Abad Santos) Road Molino-Paliparan Road, Salawag IntersectionCITY OF DASMARIÃ‘AS CAVITE",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=M3l9YFfMlZh8zNNeylIGwC1d_CULD27iVZI6kxqWLx4=,02 496 9096
,,,,,,,,,,,,,,,,,,,,
"Contractor - General Engineering, general building and specialty contractors",,,,,"ARCENAL SYSTEM ENGINEERING is a Contractor - General Engineering, general building and specialty contractors business in Dasmarinas,Cavite ",,,,,,,,,,,ARCENAL SYSTEM ENGINEERING,# 42 MOLINO -PALIPARAN RD. SALAWAGDasmarinas Cavite,,,033 202228
Retailer - Non Essential Commodities,,,,,"ADEPT BYTE TRADING is a Retailer - Non Essential Commodities business in Dasmarinas,Cavite ",,,,,,,,,,,ADEPT BYTE TRADING,"#42, MOLINO RD. SALAWAGDasmarinas Cavite",,,(046) 4842574
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at G/F Shopwise Fiesta  Araneta Center  Cubao   , QUEZON C ITY, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,G/F Shopwise Fiesta Araneta Center CubaoQUEZON C ITY METRO MANILA,,http://www.bpiexpressonline.com,
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at 235 Roosevelt Ave.  SFDM   , QUEZON C ITY, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,235 Roosevelt Ave. SFDMQUEZON C ITY METRO MANILA,,http://www.bpiexpressonline.com,
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at Level 1 Main Mall  Quirino H-way  Novaliches   , QUEZON C ITY, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,Level 1 Main Mall Quirino H-way NovalichesQUEZON C ITY METRO MANILA,,http://www.bpiexpressonline.com,
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at Retiro cor. Mayon Sts.  La Loma   , QUEZON C ITY, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,Retiro cor. Mayon Sts. La LomaQUEZON C ITY METRO MANILA,,http://www.bpiexpressonline.com,
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at Quezon Inst. Compound  E. Rodriguez Sr. Avenue   , QUEZON C ITY, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,Quezon Inst. Compound E. Rodriguez Sr. AvenueQUEZON C ITY METRO MANILA,,http://www.bpiexpressonline.com,
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at 1 Biak na Bato St.  corner Quezon Avenue   , QUEZON C ITY, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,1 Biak na Bato St. corner Quezon AvenueQUEZON C ITY METRO MANILA,,http://www.bpiexpressonline.com,
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at TDC Supermarket  Susano Rd.  Novaliches   , QUEZON C ITY, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,TDC Supermarket Susano Rd. NovalichesQUEZON C ITY METRO MANILA,,http://www.bpiexpressonline.com,
,,,,,,,,,,,,,,,,,,,,
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at Ayala Ave. cor. Buendia   , MAKATI, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,Ayala Ave. cor. BuendiaMAKATI METRO MANILA,,http://www.bpiexpressonline.com,
Dental Clinic,,,,,"The Philippines is quickly rising as one of the favorite destinations for dental tourism. Our dentists are highly competent and offer honest, reliable services to patients. Also, Filipino dentists can easily match the level of competence and skill of their foreign counterparts. Moreover, many of the advances in dental technology, including state-of-the-art equipment and new innovations such as dental implants are already being used in the country. It would actually be quite easy for a foreigner to find a dentist in Makati, Philippines who offers excellent services, high-quality prosthetics, and great value for his money. Even in other major cities in the country, competent dentists are capable of providing the best oral health care at par with their foreign counterparts. ",,,www.gerochidental.com,,,,,,,,Gerochi Dental and Implant Center,"4th Level Montivar Building 34 Jupiter corner Planet Streets, Bel-Air Village Bel-AirCITY OF MAKATI NCR",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=DdVRx82EUcE7x-ZEGIaB7XpnhBSFvEnkuBkk1UdVhJA= http://www.gerochidental.com,02 403 3032
Information and Communications Technology,,,,,"BELL TELECOMMUNICATION PHILIPPINES, INC. is a Information and Communications Technology located in 4/F Pacific Star Bldg. Sen. Gil Puyat Avenue Makati City Metro Manila ",,,www.belltel.ph,,,,,,,,"BELL TELECOMMUNICATION PHILIPPINES, INC.",4/F Pacific Star Bldg. Sen. Gil Puyat AvenueMakati City Metro Manila,,http://www.belltel.ph,(632) 6800-2355
Information and Communications Technology,,,,,"Cornersteel Systems Corporation is one of the country's leading facility solutions providers for e-enabled working environments Cornersteel showcases a full range of products and services which include interior works, systems and custom furniture, seating, carpets, UPS systems, networking, security and other computer support system. Cornersteel creates flexible, seamless and future ready facilities for corporate, call centers, backroom office, data center and other workplace environments. ",,,www.comfacgroup.com,,,,,,,,CORNERSTEEL SYSTEMS CORPORATION,"19Th Floor, The World Centre, 330 Sen. Gil PuyatMakati City Metro Manila",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=ntYPIEKRll2l_yCCwG-XYbJvFItl9CSF4fekR9R8rfs= http://www.comfacgroup.com,(632) 867-8301 to 27
Information and Communications Technology,,,,,CCAP is an association of outsource contact center service providers.  It counts as members only those who assiduously work towards operational excellence.  Its primary goal is to spearhead international marketing efforts for its members.  There are currently 16 companies in the association. ,,,www.ccap.ph,,,,,,,,CALL CENTER ASSOCIATION OF THE PHILIPPINES,2/F BPI-Fareast Bldg. Sen Gil Puyat AvenueMakati City Metro Manila,,http://www.ccap.ph,(632) 881-1111
Information and Communications Technology,,,,,"It was November 1982 when DBP Data Center, Inc. (DCI) started its operations with the purpose of implementing the computerization program of the Development Bank of the Philippines (DBP). Armed with its expertise in banking systems and facilities management, DCI embarked towards the development and implementation of non-banking systems and offers a wide range of Information Technology services both for the public and the private sector. In its 23 years of committed service, DCI has evolved from a major engine of growth for national development to an integrated IT-driven company. ",,,www.dci.ph,,,,,,,,DBP DATA CENTER INC. (DCI),22nd Flr. Pacific Star Bldg. Sen Gil Puyat AvenueMakati City Metro Manila,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=3QDeCkZIneYFqafNbge-Ww== http://www.dci.ph,(632) 848-0277
,,,,,"Caltex (Asia) Limited is a  located in  35/F Yuchengco Tower, RCBC Plaza, 6819 Ayala Ave., Mkti. City ",,,,,,,,,,,Caltex (Asia) Limited,"35/F Yuchengco Tower, RCBC Plaza, 6819 Ayala Ave., Mkti. City",,,(02) 793-4000
Construction Companies,,,,,"Nippon Express Philippines Corp. is a Construction Companies located in  Unit 2701, Yuchengco Tower, RCBC Plaza, 6819 Ayala Ave., Mkti. City ",,,,,,,,,,,Nippon Express Philippines Corp.,"Unit 2701, Yuchengco Tower, RCBC Plaza, 6819 Ayala Ave., Mkti. City",,,(02) 752-1111
"Toys, Souvenirs, Gifts, Jewelry and Decors",,,,,"Rizal Commercial Banking Corp. is a Toys, Souvenirs, Gifts, Jewelry and Decors located in  RCBC Plaza, 6819 Ayala Ave., Mkti. City ",,,,,,,,,,,Rizal Commercial Banking Corp.,"RCBC Plaza, 6819 Ayala Ave., Mkti. City",,,(02) 894-9055
,,,,,,,,,,,,,,,,,,,,
Trade and Business Associations,,,,,"The Spanish Chamber of Commerce, (CÃ¡mara Oficial EspaÃ±ola de Comercio Industria y NavegaciÃ³n en Filipinas, Inc.) was established on July 16, 1899 shortly after the American occupation of Manila. As one of the pioneers of commercial chambers established in the Philippines, the objectives of La CÃ¡mara are to expand business opportunities to its members and to perpetuate the centuries old commercial/economic bond between the Philippines and Spain.  La CÃ¡mara is a member ? based organization that draws its members from the Philippines. Its current membership consists of various companies and individuals who are interested in Philippine ? Spanish Businesses and the extension of Spanish Trade to the Philippines.  La CÃ¡mara has an extensive network of the Spanish Chamber of Commerce all over the world, which gives the opportunity for its members to expand their businesses locally and internationally. The Spanish Chamber works hand in hand with the Commercial Office of the Embassy of Spain, which also provides commercial information and trade offers that are vital to La CÃ¡mara members in increasing Philippine ? Spanish trade and investment. The Chamber regularly conducts activities such as trade fair exhibitions, fellowship lunches, product exhibition which members could actually participate in. It also renders the following services to its members: Annual Directory, Market Intelligence, Trade Fair and Product Exhibits, Data Bank, Monthly Newsletter, Certificate of Origin, Information Services and Identification of Commercial and Financial Associates.  La CÃ¡mara is an organization that focuses not only on fostering and promoting Bilateral Trade between the Philippines and Spain, but also on helping and participating in the development of the Philippines.  ",,,www.lacamara.com.ph,,,,,,,,Spanish Chamber of Commerce in the Philippines,Axa builiding Unit 1009 Philippine AXA Life Centre 1286 Sen. Gil Puyat Avenue cor. Tindalo Street Makati City Philippines 1229MAkati Metro Manila,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=gJvfEXP4n_HCDXar4y0YXQJhUPRCKXjOeZi-Yychkyg= http://www.lacamara.com.ph,02 8867643
Web Developer,,,,,"VIIHOTEL & RESORT specializes user-friendly online booking system that provides fast and reliable service specially for hotel & resort. VIIHotel & Resort are conducting free trial demo, with back-end maintenance and readymade template for hotel/resort.  ",,,,,,,,,,,VIIHotel & Resort powered by VIIWorks,"Unit G104, West of Ayala Tower, 252 Sen. Gil Puyat Avenue, Makati City, 1223  Pio Del PilarCITY OF MAKATI NCR",,,+632-846-8844
Training Center,,,,,"The Med-San Therapy & Training Center offers massage therapy training programs in Cainta, Rizal and nearby places. Our massage therapy school gives you the skills you need to become an effective and efficient massage therapist in the healthcare industry. We are dedicated to provide quality and holistic education for individuals pursuing a professional career in the field of massage therapy. We also offer a variety of advanced courses and continuing education classes for students and professionals. ",,,medsan-therapy.blogspot.com,,,,,,,,Med-San Therapy & Training Center,"27 Paris Street, Cypress Village Santo DomingoCainta RIZAL",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=_1k0e3nciv2LSx5s6cdmXzyQENCudD6qif9MlO-FGP8= http://medsan-therapy.blogspot.com,025154471
Schools,,,,,"Colegio De San Antonio is a Schools  business in Antipolo ,Rizal ",,,,,,,,,,,Colegio De San Antonio,San Antonio Ave AntipoloRizal,,,650-5522
"Toys, Souvenirs, Gifts, Jewelry and Decors",,,,,"ANTIQUES AS ACCENTS, INC. is a Toys, Souvenirs, Gifts, Jewelry and Decors located in # 158 Marick Drive, Marick Subd., Brgy., Sto. Domingo Cainta Rizal ",,,www.antiquesaccents.com,,,,,,,,"ANTIQUES AS ACCENTS, INC.","# 158 Marick Drive, Marick Subd., Brgy., Sto. DomingoCainta Rizal",,http://www.antiquesaccents.com,(632) 656-1615
